"double1group_id","startday","endday","id","te302_objecttype_desc","s_title","s_description","s_street","s_stnr","s_zip","s_city","s_lon","s_lat","te308o_geoprecision_desc","te303o_availability_desc","s_availability","s_construction_year","s_surface_usuable","s_surface_property","s_nbrooms","te307o_floor_desc","s_grossrent","s_netrent","s_rentextra","agency_name","agency_zip","agency_phone","id-2","ft_199a3_add_housing_id","filename","localpath","localpathfound","amazonpath","amazonpathchecked","amazonpathfound","s_full_link","s_full_link_1","s_full_link_2","s_full_link_3","s_full_link_4","s_full_link_5","s_full_link_6","s_full_link_7","s_full_link_8"
"85227","2014-03-05 00:00:00","2014-03-11 00:00:00","274347","Wohnung","Au centre de Lausanne","A louer pour le 1e ravril 2013, grand 3 pièces comprenant : petit hall, 1 WC séparé, un grand hall meublable, 1 salon avec balcon, 2 chambres dont une avec balcon, 1 cuisine habitable avec frigo, 1 salle de bains-WC.","Rue du Maupas 22","22","1004","Lausanne","6.62564","46.5252","","festgelegtes Datum","2014-04-01","1946","80","","3","5. Stock","1870","1550","320","Bilfinger Real Estate SA","1000","0041 21 620 77 42","274348","274347","","","","msschweiz2015/pics/pics20140305/homegateOnline/509/homegateOnline_8b74b4f1c33f13b934ee4a7b3fa3255b2324e3f0_img-1_05.03.2014-13.06.28.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20140305/homegateOnline/509/homegateOnline_8b74b4f1c33f13b934ee4a7b3fa3255b2324e3f0_img-1_05.03.2014-13.06.28.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20140305/homegateOnline/509/homegateOnline_8b74b4f1c33f13b934ee4a7b3fa3255b2324e3f0_img-3_05.03.2014-13.06.32.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20140305/homegateOnline/509/homegateOnline_8b74b4f1c33f13b934ee4a7b3fa3255b2324e3f0_img-5_05.03.2014-13.06.35.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20140305/homegateOnline/509/homegateOnline_8b74b4f1c33f13b934ee4a7b3fa3255b2324e3f0_img-7_05.03.2014-13.06.39.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20140305/homegateOnline/509/homegateOnline_8b74b4f1c33f13b934ee4a7b3fa3255b2324e3f0_img-9_05.03.2014-13.06.42.png","NONE","NONE","NONE","NONE"
"496766","2015-05-07 00:00:00","2015-06-03 00:00:00","2230323","Wohnung","Magnifique logement de 4 pièces au 3ème étage avec balcon et ascenseur., Lausanne","Quartier calme, proche des transports publics et de toutes commodités. Magnifique logement de 4 pièces au 3ème étage avec balcon et ascenseur. Cuisine agencée et équipée, salle de bains/WC, 3 chambres, séjour, beaux parquets, grand hall d'entrée.","Rue des Glaciers 7","7","1004","Lausanne","6.63157","46.527","","festgelegtes Datum","2015-05-15","1910","83","","4","3. Stock","2440","2320","120","","1005","0041 78 850 00 23","2230324","2230323","","","","msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-1_07.05.2015-06.40.44.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-1_07.05.2015-06.40.44.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-2_07.05.2015-06.40.48.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-3_07.05.2015-06.40.50.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-4_07.05.2015-06.40.53.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-5_07.05.2015-06.40.57.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-6_07.05.2015-06.41.01.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150507/homegateOnline/148/homegateOnline_6f84b18aee0ed0a039fe41bf2f9fe1d92ab59a9f_img-7_07.05.2015-06.41.05.png","NONE","NONE"
"521513","2015-06-27 00:00:00","2015-07-13 00:00:00","2353965","Wohnung","Magnifique 3 pièces au 4ème étage avec ascenseur. Appartement rénové en peinture , Lausanne","Proche des toutes les commodités et des transports publics. Magnifique 3 pièces au 4ème étage avec ascenseur. Appartement rénové en peinture et parquets. Cuisine agencée et équipée, grand hall d'entrée, séjour, deux chambres, une salle de bains et un wc séparé.","Rue Couchirard 3","3","1004","Lausanne","6.6128","46.5255","","festgelegtes Datum","2015-08-01","1930","81","","3","4. Stock","1840","1680","160","","1005","","2353966","2353965","","","","msschweiz2015/pics/pics20150627/homegateOnline/398/homegateOnline_692b36ff1820925cfd908dc9727cddf50decbbc5_img-1_27.06.2015-15.32.02.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150627/homegateOnline/398/homegateOnline_692b36ff1820925cfd908dc9727cddf50decbbc5_img-1_27.06.2015-15.32.02.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
"530642","2015-07-10 00:00:00","2015-07-29 00:00:00","2401116","Wohnung","Magnifique appartement de 3,5 pièces au 2ème étage entièrement rénové., Lausanne","Immeuble de caractère proche de toutes commodités. Magnifique appartement de 3,5 pièces au 2ème étage entièrement rénové. un grand hall d'entrée avec armoire, deux chambres, un séjour avec balcon, une cuisine agencée et équipée, une salle de bains et un wc séparé","Rue Couchirard 5","5","1004","Lausanne","6.61258","46.5255","","festgelegtes Datum","2015-08-01","1930","82","","3.5","2. Stock","1920","1760","160","","1005","","2401117","2401116","","","","msschweiz2015/pics/pics20150710/homegateOnline/1216/homegateOnline_9a72e17b3d019c169b7494a78a9d2f974a8ffba5_img-1_10.07.2015-11.41.29.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/pics20150710/homegateOnline/1216/homegateOnline_9a72e17b3d019c169b7494a78a9d2f974a8ffba5_img-1_10.07.2015-11.41.29.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
"531448","2015-07-25 00:00:00","2015-07-30 00:00:00","2404855","Wohnung","Beau et lumineux logement de 3,5 pièces au 3ème étage avec vue lac., Lausanne","Quartier Malley, proche de toutes les commodités. Beau et lumineux logement de 3,5 pièces au 3ème étage avec vue lac. Cuisine agencée et équipée, salle de bains avec wc, grand hall d'entrée avec armoire, 2 chambres à coucher, séjour, balcon vue lac.","Rue Couchirard 9","9","1004","Lausanne","6.61203","46.5255","","festgelegtes Datum","2015-09-01","1930","84","","3.5","3. Stock","2010","1880","130","","1005","0041 58 211 12 88","2404856","2404855","","","","msschweiz2015/pics/2015/07/25/homegateOnline/415.0/homegateOnline_ddca24b89ac5740427b6a2d504d0c1d240d7e85e_img-1_25.07.2015-07.26.47.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/07/25/homegateOnline/415.0/homegateOnline_ddca24b89ac5740427b6a2d504d0c1d240d7e85e_img-1_25.07.2015-07.26.47.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
"593156","2015-09-17 00:00:00","2015-09-22 00:00:00","2741528","Wohnung","Quand le confort contemporain épouse le charme retro","Bail à durée limitée de 2 ansCharmant et lumineux appartement de 3.5 pièces dans une belle maison bourgeoise des années 20 au coeur de Lausanne. Il a été entièrement rafraîchi en 2012. Il offre une vue imprenable sur le lac. Vous profiterez également du jardin et du verger.","Placeholder 123","","1004","Lausanne","6.61795","46.53","","Alles Einzugbereit","","1920","90","","3.5","2. Stock","2360","2190","170","Gérance Borgeaud SA","1003","0041 21 313 43 00","2741529","2741528","","","","msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-1_17.09.2015-09.51.46.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-1_17.09.2015-09.51.46.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-2_17.09.2015-09.51.51.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-3_17.09.2015-09.51.56.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-4_17.09.2015-09.52.02.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-5_17.09.2015-09.52.07.png","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2015/09/17/immoscout/116.0/immoscout_f20ce1a3bece589535ed149ca0600c63d8d80829_img-6_17.09.2015-09.52.12.png","NONE","NONE","NONE"
"863745","2016-07-03 00:00:00","2016-08-17 00:00:00","4051297","Wohnung","Logement spacieux et lumineux., Lausanne","Proche de toutes les commodités et des transports publics. Logement spacieux et lumineux. Joli 3 pièces situé au 2ème étage, comprenant 2 chambres, un séjour, une cuisine agencée, une salle de bains avec baignoire et un WC séparé, balcon.","Rue Couchirard 3","3","1004","Lausanne","6.6128","46.5255","","festgelegtes Datum","2016-07-15","1930","81","","3","2. Stock","1950","1800","150","","1005","0041 58 211 12 88","4051298","4051297","","","","msschweiz2015/pics/2016/07/03/homegateOnline/1326.0/homegateOnline_3e9bf67c4a9f4659a846841061d44de06135aa8e_img-1_03.07.2016-01.02.21.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2016/07/03/homegateOnline/1326.0/homegateOnline_3e9bf67c4a9f4659a846841061d44de06135aa8e_img-1_03.07.2016-01.02.21.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
"939483","2016-08-24 00:00:00","2016-10-12 00:00:00","4315722","Wohnung","Bel appartement au centre-ville, Lausanne","A louer, bel appartement de 3.5 pces au dernier étage, proche des transports publics et des commodités. Comprenant : - Cuisine entièrement agencée - Chambres avec parquet - Salle de bains/WC et salle de douches avec lavabo - Hall avec armoires murales - Ascenseur dans l'immeuble En cas d'intérêt pour cet objet, merci de nous faire parvenir les documents suivants : - Demande de location (www.wincasa.ch) - Copie de la carte d'identité ou du permis de séjour - Copie de l'extrait de l'Office des poursuites (moins de 3 mois) - 3 dernières fiches de salaires Ne seront pris en considération que les dossiers complets.","Av. de France 2","2","1004","Lausanne","6.62449","46.5241","","festgelegtes Datum","2016-10-01","1920","112","","3.5","6. Stock","2550","2350","200","Wincasa AG","1000","0041 21 310 61 33","4315723","4315722","","","","msschweiz2015/pics/2016/08/24/homegateOnline/1326.0/homegateOnline_2ff2b32af58a18d653c4533087bc3e63a421de24_img-1_24.08.2016-13.21.41.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2016/08/24/homegateOnline/1326.0/homegateOnline_2ff2b32af58a18d653c4533087bc3e63a421de24_img-1_24.08.2016-13.21.41.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
"1026019","2016-12-13 00:00:00","2017-01-02 00:00:00","4651143","Wohnung","A proximité des commodités., Lausanne","Proche des transports publics. A proximité des commodités. Joli appartement rénové avec hall habitable, cuisine agencée, deux grandes chambre, séjour, salle de bains avec baignoire, WC séparé, balcon.","Rue Couchirard 3","3","1004","Lausanne","6.6128","46.5255","","festgelegtes Datum","2016-12-15","1930","76","","3","4. Stock","1940","1800","140","","1005","0041 58 211 12 88","4651144","4651143","","","","msschweiz2015/pics/2016/12/13/homegateOnline/1326.0/homegateOnline_269986a48d2efa1bd9783e21ada8562c6dbf24f9_img-1_13.12.2016-16.05.04.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2016/12/13/homegateOnline/1326.0/homegateOnline_269986a48d2efa1bd9783e21ada8562c6dbf24f9_img-1_13.12.2016-16.05.04.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
"1030403","2017-01-04 00:00:00","2017-01-09 00:00:00","4667837","Wohnung","Appartement au centre-ville, Lausanne","A louer pour le 1er février 2017, magnifique appartement de 3.5 pièces au 5ème étage, proche des transports publics et des commodités. Comprenant : - Hall d'entrée avec armoire murale - Cuisine entièrement agencée - Séjour - Chambres avec parquet - Salle de bains/WC - Ascenseur dans l'immeuble L'unique visite groupée de cet objet est fixée au 9 janvier 2017 de 18h30 à 19h30. Merci de vous rendre directement sur place à la date et à l'heure précitées. En cas d'intérêt pour cet objet, merci de nous faire parvenir les documents suivants : - Demande de location (www.wincasa.ch) - Copie de la carte d'identité ou du permis de séjour - Copie de l'extrait de l'Office des poursuites (moins de 3 mois) - 3 dernières fiches de salaires Ne seront pris en considération que les dossiers complets.","Av. de Beaulieu 3","3","1004","Lausanne","6.62459","46.5241","","festgelegtes Datum","2017-02-01","1920","79","","3.5","5. Stock","1825","1620","205","Wincasa AG","1000","0041 21 310 61 36","4667838","4667837","","","","msschweiz2015/pics/2017/01/05/homegateOnline/1326.0/homegateOnline_8131cb11d4881bcf6088eb9ba6d08d74a4492a67_img-1_05.01.2017-13.28.53.png","","","https://s3-eu-west-1.amazonaws.com/msschweiz2015/pics/2017/01/05/homegateOnline/1326.0/homegateOnline_8131cb11d4881bcf6088eb9ba6d08d74a4492a67_img-1_05.01.2017-13.28.53.png","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE"
